,address,rooms,floor,info,price,views,Lat,Lng,adddate,editdate,ListingID_NK,Sqm,pricebysqm,addyear,edityear,addmonth,editmonth,addday,editday,addquarter,editquarter,platform,housetype,type,City,DistrictStreet,District,Street,eurowindows,irondoor,openbalcony,securitysystem,sunny,view,roadside,closetothebusstation,parking,park,elevator,furniture,equipment,balcony,storageroom,playground,parquet,tile,laminateflooring,heating,hotwater,electricity,centralheating,water,water247,gas,airconditioner,sewerage,logha,garage,internet
4073," Yerevan, Arabkir, Barbyus St ", 2, 6/9,"2 bedrooms apartment for sale in Barbyus St, Arabkir, Yerevan, 132181",110000  ,292.0,40.1937965,44.4831917,2023-04-08,2023-04-08,132181.0,54,2037.0,2023,2023,8,8,4,4,3,3,MyRealty.am,apartment,sale, Yerevan," Arabkir,  Barbyus St ", Arabkir, Barbyus St ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4074," Yerevan, Arabkir, N. Zaryan St ",nan,1/10,"Commercial propertyfor rent in N. Zaryan St, Arabkir, Yerevan, 129081",3290,633.0,40.183333,44.516667,2023-02-10,2023-02-10,129081.0,220,,2023,2023,10,10,2,2,4,4,MyRealty.am,property,rent, Yerevan," Arabkir,  N. Zaryan St ", Arabkir, N. Zaryan St ,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4075," Yerevan, Center, Vardanants St ",nan,1/5,"Commercial property for sale in Vardanants St, Center, Yerevan, 121232",400000  ,1815.0,40.1765904,44.5191255,2022-04-28,2022-04-28,121232.0,125,3200.0,2022,2022,4,4,28,28,2,2,MyRealty.am,property,sale, Yerevan," Center,  Vardanants St ", Center, Vardanants St ,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4076," Yerevan, Arabkir, Orbeli Yeghbayrner St ", 3, 8/9,"3 bedrooms apartment for sale in new construction in Orbeli Yeghbayrner St, Arabkir, Yerevan, 126203",250000  ,1261.0,40.1930171,44.4899571,2022-10-28,2022-11-21,126203.0,94,2660.0,2022,2022,10,11,28,21,4,4,MyRealty.am,apartment,sale, Yerevan," Arabkir,  Orbeli Yeghbayrner St ", Arabkir, Orbeli Yeghbayrner St ,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4077," Yerevan, Arabkir, N. Zaryan St ", 3, 11/16,"3 bedrooms apartment for sale in new construction in N. Zaryan St, Arabkir, Yerevan, 131346",210000  ,590.0,40.2034531,44.5174651,2023-03-23,2023-03-23,131346.0,74,2838.0,2023,2023,3,3,23,23,1,1,MyRealty.am,apartment,sale, Yerevan," Arabkir,  N. Zaryan St ", Arabkir, N. Zaryan St ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4078," Yerevan, Avan, Arinj ", 7,," for sale in Arinj, Avan, Yerevan, 124662",250000  ,2374.0,40.2245942,44.5664846,2022-08-13,2022-08-13,124662.0,1000,250.0,2022,2022,8,8,13,13,3,3,MyRealty.am,apartment,sale, Yerevan," Avan,  Arinj ", Avan, Arinj ,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
4079," Aragatsotn, Ashtarak, Agarak village ",nan,,"Land for sale sale in Agarak village, Ashtarak, Aragatsotn, 88512",100000  ,1918.0,40.3026403,44.2788488,2019-11-13,2019-11-13,88512.0,7000,14.0,2019,2019,11,11,13,13,4,4,MyRealty.am,apartment,sale, Aragatsotn," Ashtarak,  Agarak village ", Ashtarak, Agarak village ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4080," Yerevan, Malatia-Sebastia, Leningradyan st. ", 3, 6/16,"3 bedrooms apartment for sale in new construction in Leningradyan st., Malatia-Sebastia, Yerevan, 130438",160000   ,539.0,40.1908216,44.4744298,2023-02-08,2023-03-09,130438.0,95,1684.0,2023,2023,8,9,2,3,3,3,MyRealty.am,apartment,sale, Yerevan," Malatia-Sebastia,  Leningradyan st. ", Malatia-Sebastia, Leningradyan st. ,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
4081," Yerevan, Qanaqer-Zeytun, K. Ulnetsi St ", 2, 3/4,"2 bedrooms apartment for sale in K. Ulnetsi St, Qanaqer-Zeytun, Yerevan, 125023",92000  ,2044.0,40.2084857,44.5407469,2022-08-31,2023-01-14,125023.0,65,1415.0,2022,2023,8,1,31,14,3,1,MyRealty.am,apartment,sale, Yerevan," Qanaqer-Zeytun,  K. Ulnetsi St ", Qanaqer-Zeytun, K. Ulnetsi St ,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4082," Yerevan, Avan, Abovyan dis ", 7,,"New build for sale in Abovyan dis, Avan, Yerevan, 114242",410000  ,3536.0,40.183333,44.516667,2021-09-06,2021-09-06,114242.0,1500,273.0,2021,2021,6,6,9,9,2,2,MyRealty.am,apartment,sale, Yerevan," Avan,  Abovyan dis ", Avan, Abovyan dis ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
